Devices,Run,Algorithm,VCSize,ExecutionTime,Density,Error,ApproximationRatio,GraphFile
19,4,BruteForce,15,535.1043,0.5789,0.0,1.0,graphs/N19_run4_BruteForce.png
19,4,Backtracking,15,69.669,0.5789,0.0,1.0,graphs/N19_run4_Backtracking.png
19,4,Greedy,15,0.0,0.5789,0.0,1.0,graphs/N19_run4_Greedy.png
19,4,EdgeGreedy,18,0.0,0.5789,20.0,1.2,graphs/N19_run4_EdgeGreedy.png
19,5,BruteForce,16,482.1453,0.6667,0.0,1.0,graphs/N19_run5_BruteForce.png
19,5,Backtracking,16,89.2999,0.6667,0.0,1.0,graphs/N19_run5_Backtracking.png
19,5,Greedy,16,0.0,0.6667,0.0,1.0,graphs/N19_run5_Greedy.png
19,5,EdgeGreedy,18,0.0,0.6667,12.5,1.125,graphs/N19_run5_EdgeGreedy.png
20,1,BruteForce,17,1079.5522,0.8053,0.0,1.0,graphs/N20_run1_BruteForce.png
20,1,Backtracking,17,256.9816,0.8053,0.0,1.0,graphs/N20_run1_Backtracking.png
20,1,Greedy,17,0.0,0.8053,0.0,1.0,graphs/N20_run1_Greedy.png
20,1,EdgeGreedy,18,0.0,0.8053,5.8824,1.0588,graphs/N20_run1_EdgeGreedy.png
20,2,BruteForce,17,904.0322,0.6,0.0,1.0,graphs/N20_run2_BruteForce.png
20,2,Backtracking,17,181.915,0.6,0.0,1.0,graphs/N20_run2_Backtracking.png
20,2,Greedy,17,0.0,0.6,0.0,1.0,graphs/N20_run2_Greedy.png
20,2,EdgeGreedy,20,0.0,0.6,17.6471,1.1765,graphs/N20_run2_EdgeGreedy.png
20,3,BruteForce,17,1053.1268,0.7895,0.0,1.0,graphs/N20_run3_BruteForce.png
20,3,Backtracking,17,237.2103,0.7895,0.0,1.0,graphs/N20_run3_Backtracking.png
20,3,Greedy,18,0.9446,0.7895,5.8824,1.0588,graphs/N20_run3_Greedy.png
20,3,EdgeGreedy,20,0.0,0.7895,17.6471,1.1765,graphs/N20_run3_EdgeGreedy.png
20,4,BruteForce,18,958.6523,0.6316,0.0,1.0,graphs/N20_run4_BruteForce.png
20,4,Backtracking,18,290.7131,0.6316,0.0,1.0,graphs/N20_run4_Backtracking.png
20,4,Greedy,18,0.0,0.6316,0.0,1.0,graphs/N20_run4_Greedy.png
20,4,EdgeGreedy,20,1.0014,0.6316,11.1111,1.1111,graphs/N20_run4_EdgeGreedy.png
20,5,BruteForce,17,847.9722,0.5263,0.0,1.0,graphs/N20_run5_BruteForce.png
20,5,Backtracking,17,170.0132,0.5263,0.0,1.0,graphs/N20_run5_Backtracking.png
20,5,Greedy,17,0.0,0.5263,0.0,1.0,graphs/N20_run5_Greedy.png
20,5,EdgeGreedy,20,0.0,0.5263,17.6471,1.1765,graphs/N20_run5_EdgeGreedy.png
21,1,BruteForce,19,2291.5258,0.9524,0.0,1.0,graphs/N21_run1_BruteForce.png
21,1,Backtracking,19,907.892,0.9524,0.0,1.0,graphs/N21_run1_Backtracking.png
21,1,Greedy,19,6.9556,0.9524,0.0,1.0,graphs/N21_run1_Greedy.png
21,1,EdgeGreedy,20,0.0,0.9524,5.2632,1.0526,graphs/N21_run1_EdgeGreedy.png
21,2,BruteForce,17,1858.5527,0.5429,0.0,1.0,graphs/N21_run2_BruteForce.png
21,2,Backtracking,17,223.2411,0.5429,0.0,1.0,graphs/N21_run2_Backtracking.png
21,2,Greedy,17,0.0,0.5429,0.0,1.0,graphs/N21_run2_Greedy.png
21,2,EdgeGreedy,20,0.0,0.5429,17.6471,1.1765,graphs/N21_run2_EdgeGreedy.png
21,3,BruteForce,18,2130.7197,0.6905,0.0,1.0,graphs/N21_run3_BruteForce.png
21,3,Backtracking,18,379.4169,0.6905,0.0,1.0,graphs/N21_run3_Backtracking.png
21,3,Greedy,18,1.0002,0.6905,0.0,1.0,graphs/N21_run3_Greedy.png
21,3,EdgeGreedy,20,0.0,0.6905,11.1111,1.1111,graphs/N21_run3_EdgeGreedy.png
21,4,BruteForce,18,1966.6426,0.6905,0.0,1.0,graphs/N21_run4_BruteForce.png
21,4,Backtracking,18,453.8162,0.6905,0.0,1.0,graphs/N21_run4_Backtracking.png
21,4,Greedy,18,0.0,0.6905,0.0,1.0,graphs/N21_run4_Greedy.png
21,4,EdgeGreedy,20,0.0,0.6905,11.1111,1.1111,graphs/N21_run4_EdgeGreedy.png
21,5,BruteForce,18,2125.1254,0.6333,0.0,1.0,graphs/N21_run5_BruteForce.png
21,5,Backtracking,18,405.1139,0.6333,0.0,1.0,graphs/N21_run5_Backtracking.png
21,5,Greedy,18,1.0931,0.6333,0.0,1.0,graphs/N21_run5_Greedy.png
21,5,EdgeGreedy,20,0.0,0.6333,11.1111,1.1111,graphs/N21_run5_EdgeGreedy.png
22,1,BruteForce,19,3780.9584,0.5844,0.0,1.0,graphs/N22_run1_BruteForce.png
